name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-30982,58512,26,61.16668981,43.0006,146.2418,7.97e-05,331.2699,148.4708,915.2926739999999,0.064025,U,active,1 58512U 23191E   26061.16668981  .01816496  00000+0  64025-1 0  9999,2 58512  43.0006 146.2418 0000797 331.2699 148.4708 15.25487790  5722,6867.45808454753,94.39603577554692,496.45808454753023
STARLINK-30998,58513,26,61.16668981,43.0022,146.0287,0.0001102,261.1508,309.46260000000007,916.0231187999999,0.0021764,U,active,1 58513U 23191F   26061.16668981  .00058523  00000+0  21764-2 0  9992,2 58513  43.0022 146.0287 0001102 261.1508 309.4626 15.26705198  5661,6863.806818654123,94.32076355582042,492.80681865412316
STARLINK-30983,58514,26,61.16668981,43.0017,145.7714,0.0001304,267.5913,50.6226,914.3693352,0.050386,U,active,1 58514U 23191G   26061.16668981  .01349014  00000+0  50386-1 0  9993,2 58514  43.0017 145.7714 0001304 267.5913  50.6226 15.23948892  5760,6872.0805228721465,94.49135778498272,501.0805228721465
STARLINK-31017,58515,26,61.0037706,43.0014,274.5651,0.0001335,259.7981,100.272,916.548477,6.797e-05,U,active,1 58515U 23191H   26061.00377060  .00001609  00000+0  67970-4 0  9996,2 58515  43.0014 274.5651 0001335 259.7981 100.2720 15.27580795127002,6861.183715524686,94.26669965433808,490.1837155246858
STARLINK-31028,58516,26,61.16668981,43.0006,145.4818,0.0001548,267.974,171.3031,916.0347540000001,0.0017649999999999999,U,active,1 58516U 23191J   26061.16668981  .00047366  00000+0  17650-2 0  9997,2 58516  43.0006 145.4818 0001548 267.9740 171.3031 15.26724590  5613,6863.748697180884,94.3195655216374,492.74869718088394
STARLINK-31011,58517,26,61.00002314,43.0009,146.4138,0.0001361,272.0143,335.9471,916.060437,-0.00022902,U,active,1 58517U 23191K   26061.00002314 -.00006403  00000+0 -22902-3 0  9999,2 58517  43.0009 146.4138 0001361 272.0143 335.9471 15.26767395  5638,6863.620406896099,94.31692114436332,492.62040689609876
STARLINK-31021,58518,26,61.16668981,43.0008,145.8388,0.0001742,279.1997,359.2447,911.9913702,0.097974,U,active,1 58518U 23191L   26061.16668981  .02391091  00000+0  97974-1 0  9994,2 58518  43.0008 145.8388 0001742 279.1997 359.2447 15.19985617  5774,6884.0210405098915,94.73773856111428,513.0210405098915
STARLINK-31010,58519,26,61.16668981,43.0001,145.8998,0.0001793,257.218,340.8592,911.6191230000001,0.10276,U,active,1 58519U 23191M   26061.16668981  .02472358  00000+0  10276+0 0  9999,2 58519  43.0001 145.8998 0001793 257.2180 340.8592 15.19365205  5774,6885.894910218933,94.77642342085883,514.8949102189326
STARLINK-31003,58520,26,61.16668981,43.0007,145.493,0.0001302,237.9378,199.1235,916.0244748,0.0025804,U,active,1 58520U 23191N   26061.16668981  .00069542  00000+0  25804-2 0  9992,2 58520  43.0007 145.4930 0001302 237.9378 199.1235 15.26707458  5715,6863.800044945488,94.32062393187051,492.80004494548757
STARLINK-31015,58521,26,61.16668981,43.0004,145.4739,0.000128,277.4495,168.8014,916.0235663999999,0.0019781,U,active,1 58521U 23191P   26061.16668981  .00053127  00000+0  19781-2 0  9992,2 58521  43.0004 145.4739 0001280 277.4495 168.8014 15.26705944  5765,6863.804582728983,94.32071746751515,492.8045827289834
